27,2.00E-01,4.41E-02,-0.425,,1.99E-01,4.41E-02,-0.49,,2.00E-01,4.41E-02,-0.768,,2.00E-01,4.41E-02,-0.855,,2.99E-02,2.58E-02,-1.031,,2.99E-02,2.58E-02,-1.042,,3.00E-02,2.58E-02,-1.088
26,2.50E-01,4.65E-02,-0.442,,2.51E-01,4.65E-02,-0.521,,2.50E-01,4.65E-02,-0.523,,2.50E-01,4.65E-02,-0.845,,4.97E-02,2.97E-02,-1.039,,4.97E-02,2.97E-02,-1.07,,5.00E-02,2.97E-02,-1.136
25,3.01E-01,4.80E-02,-0.428,,2.99E-01,4.80E-02,-0.522,,3.00E-01,4.80E-02,-0.579,,3.00E-01,4.80E-02,-0.711,,7.45E-02,3.32E-02,-0.991,,7.49E-02,3.33E-02,-1.029,,7.48E-02,3.33E-02,-1.131
24,3.51E-01,4.88E-02,-0.456,,3.49E-01,4.88E-02,-0.54,,3.50E-01,4.88E-02,-0.626,,3.50E-01,4.88E-02,-0.625,,9.99E-02,3.62E-02,-0.95,,9.99E-02,3.62E-02,-0.988,,9.99E-02,3.62E-02,-1.085
23,4.00E-01,4.89E-02,-0.47,,3.99E-01,4.89E-02,-0.582,,4.00E-01,4.89E-02,-0.646,,4.00E-01,4.89E-02,-0.673,,1.40E-01,4.00E-02,-0.917,,1.40E-01,3.99E-02,-0.992,,1.40E-01,4.00E-02,-0.898
22,4.50E-01,4.81E-02,-0.504,,4.49E-01,4.82E-02,-0.598,,4.50E-01,4.81E-02,-0.694,,4.50E-01,4.81E-02,-0.731,,1.80E-01,4.29E-02,-0.889,,1.80E-01,4.27E-02,-1.014,,1.80E-01,4.29E-02,-0.807
21,5.00E-01,4.65E-02,-0.523,,4.99E-01,4.65E-02,-0.655,,5.00E-01,4.65E-02,-0.749,,5.00E-01,4.65E-02,-0.777,,2.20E-01,4.52E-02,-0.894,,2.20E-01,4.51E-02,-0.992,,2.20E-01,4.51E-02,-0.772
20,5.50E-01,4.39E-02,-0.555,,5.49E-01,4.40E-02,-0.683,,5.50E-01,4.39E-02,-0.761,,5.50E-01,4.39E-02,-0.452,,2.60E-01,4.68E-02,-0.89,,2.60E-01,4.68E-02,-0.839,,2.60E-01,4.68E-02,-0.756
19,6.00E-01,4.08E-02,-0.615,,5.99E-01,4.08E-02,-0.699,,6.01E-01,4.07E-02,-0.781,,6.00E-01,4.08E-02,-0.198,,3.00E-01,4.80E-02,-0.906,,3.00E-01,4.80E-02,-0.796,,3.00E-01,4.80E-02,-0.725
18,6.50E-01,3.71E-02,-0.66,,6.49E-01,3.72E-02,-0.718,,6.50E-01,3.71E-02,-0.259,,6.50E-01,3.71E-02,-0.094,,3.40E-01,4.87E-02,-0.933,,3.40E-01,4.87E-02,-0.769,,3.40E-01,4.87E-02,-0.714
17,7.10E-01,3.22E-02,-0.449,,7.09E-01,3.23E-02,-0.222,,7.10E-01,3.22E-02,-0.103,,7.10E-01,3.22E-02,-0.016,,3.80E-01,4.89E-02,-0.944,,3.80E-01,4.89E-02,-0.682,,3.80E-01,4.89E-02,-0.402
16,7.80E-01,2.56E-02,-0.18,,7.79E-01,2.57E-02,-0.06,,7.80E-01,2.56E-02,0.006,,7.80E-01,2.56E-02,0.043,,4.20E-01,4.87E-02,-0.619,,4.20E-01,4.87E-02,-0.259,,4.20E-01,4.87E-02,-0.278
15,8.50E-01,1.81E-02,-0.054,,8.49E-01,1.83E-02,0.04,,8.50E-01,1.82E-02,0.086,,8.50E-01,1.82E-02,0.094,,4.60E-01,4.79E-02,-0.35,,4.60E-01,4.79E-02,-0.169,,4.60E-01,4.79E-02,-0.183
14,9.20E-01,1.02E-02,0.066,,9.19E-01,1.03E-02,0.131,,9.20E-01,1.02E-02,0.16,,9.20E-01,1.02E-02,0.162,,5.00E-01,4.65E-02,-0.224,,5.00E-01,4.65E-02,-0.122,,5.00E-01,4.65E-02,-0.155
13,9.85E-01,2.65E-03,0.178,,9.84E-01,2.83E-03,0.218,,9.86E-01,2.51E-03,0.24,,9.85E-01,2.67E-03,0.235,,5.40E-01,4.45E-02,-0.133,,5.40E-01,4.45E-02,-0.103,,5.40E-01,4.45E-02,-0.156
,,,,,,,,,,,,,,,,,5.80E-01,4.21E-02,-0.076,,5.80E-01,4.21E-02,-0.079,,5.80E-01,4.21E-02,-0.159
,,,,,,,,,,,,,,,,,6.20E-01,3.94E-02,-0.048,,6.20E-01,3.94E-02,-0.066,,6.20E-01,3.94E-02,-0.169
,,,,,,,,,,,,,,,,,6.60E-01,3.64E-02,-0.03,,6.60E-01,3.64E-02,-0.056,,6.60E-01,3.64E-02,-0.186
,,,,,,,,,,,,,,,,,7.00E-01,3.31E-02,-0.016,,7.00E-01,3.31E-02,-0.032,,7.00E-01,3.31E-02,-0.2
,,,,,,,,,,,,,,,,,7.39E-01,2.95E-02,-0.001,,7.40E-01,2.95E-02,-0.024,,7.40E-01,2.95E-02,-0.215
,,,,,,,,,,,,,,,,,7.80E-01,2.57E-02,0.24,,7.80E-01,2.57E-02,0,,7.79E-01,2.57E-02,-0.229
,,,,,,,,,,,,,,,,,8.19E-01,2.16E-02,0.058,,8.20E-01,2.15E-02,0.032,,8.20E-01,2.15E-02,-0.244
,,,,,,,,,,,,,,,,,8.60E-01,1.71E-02,0.09,,8.60E-01,1.71E-02,0.059,,8.59E-01,1.71E-02,-0.246
,,,,,,,,,,,,,,,,,8.99E-01,1.25E-02,0.127,,9.00E-01,1.24E-02,0.086,,9.00E-01,1.24E-02,-0.249
,,,,,,,,,,,,,,,,,9.47E-01,7.55E-03,0.179,,9.49E-01,7.42E-03,0.135,,9.50E-01,7.33E-03,-0.255
,,,,,,,,,,,,,,,,,9.85E-01,2.66E-03,0.233,,9.85E-01,2.72E-03,0.188,,9.85E-01,2.74E-03,-0.182
