9.50E-01,-7.26E-03,0.94
8.16E-01,-2.19E-02,-0.104
6.66E-01,-3.59E-02,-0.212
5.66E-01,-4.30E-02,-0.279
4.66E-01,-4.77E-02,-0.297
3.66E-01,-4.89E-02,-0.22
2.66E-01,-4.70E-02,-0.159
1.66E-01,-4.19E-02,-0.083
4.99E-02,-2.97E-02,-0.036
2.00E-02,-2.27E-02,-0.041
5.93E-03,-1.33E-02,0.558
3.40E-04,2.92E-03,0.827
2.16E-03,8.02E-03,0.502
8.66E-03,1.59E-02,-0.08
2.04E-02,2.29E-02,-0.598
3.53E-02,2.70E-02,-0.948
6.04E-02,3.13E-02,-0.828
9.96E-02,3.62E-02,-0.436
1.50E-01,4.08E-02,-0.384
2.00E-01,4.41E-02,-0.425
2.50E-01,4.65E-02,-0.442
3.01E-01,4.80E-02,-0.428
3.51E-01,4.88E-02,-0.456
4.00E-01,4.89E-02,-0.47
4.50E-01,4.81E-02,-0.504
5.00E-01,4.65E-02,-0.523
5.50E-01,4.39E-02,-0.555
6.00E-01,4.08E-02,-0.615
6.50E-01,3.71E-02,-0.66
7.10E-01,3.22E-02,-0.449
7.80E-01,2.56E-02,-0.18
8.50E-01,1.81E-02,-0.054
9.20E-01,1.02E-02,0.066
9.85E-01,2.65E-03,0.178
