9.49E-01,-7.35E-03,0.083
8.50E-01,-1.82E-02,0.002
7.50E-01,-2.85E-02,-0.062
6.50E-01,-3.72E-02,-0.11
5.50E-01,-4.40E-02,-0.16
4.50E-01,-4.82E-02,-0.221
3.50E-01,-4.88E-02,-0.455
2.50E-01,-4.65E-02,-0.418
1.50E-01,-4.08E-02,-0.407
1.00E-01,-3.63E-02,-0.441
6.54E-02,-3.20E-02,-0.384
4.03E-02,-2.81E-02,-0.355
1.99E-02,-2.27E-02,-0.246
5.78E-03,-1.31E-02,0.365
5.00E-04,3.61E-03,0.673
1.93E-03,7.57E-03,0.29
6.30E-03,1.37E-02,-0.145
1.27E-02,1.89E-02,-0.522
2.01E-02,2.28E-02,-0.87
3.00E-02,2.58E-02,-1.088
5.00E-02,2.97E-02,-1.136
7.48E-02,3.33E-02,-1.131
9.99E-02,3.62E-02,-1.085
1.40E-01,4.00E-02,-0.898
1.80E-01,4.29E-02,-0.807
2.20E-01,4.51E-02,-0.772
2.60E-01,4.68E-02,-0.756
3.00E-01,4.80E-02,-0.725
3.40E-01,4.87E-02,-0.714
3.80E-01,4.89E-02,-0.402
4.20E-01,4.87E-02,-0.278
4.60E-01,4.79E-02,-0.183
5.00E-01,4.65E-02,-0.155
5.40E-01,4.45E-02,-0.156
5.80E-01,4.21E-02,-0.159
6.20E-01,3.94E-02,-0.169
6.60E-01,3.64E-02,-0.186
7.00E-01,3.31E-02,-0.2
7.40E-01,2.95E-02,-0.215
7.79E-01,2.57E-02,-0.229
8.20E-01,2.15E-02,-0.244
8.59E-01,1.71E-02,-0.246
9.00E-01,1.24E-02,-0.249
9.50E-01,7.33E-03,-0.255
9.85E-01,2.74E-03,-0.182
