9.50E-01,-7.31E-03,0.167
8.50E-01,-1.82E-02,0.041
7.50E-01,-2.85E-02,-0.053
6.50E-01,-3.71E-02,-0.127
5.50E-01,-4.40E-02,-0.48
4.50E-01,-4.81E-02,-0.482
3.50E-01,-4.88E-02,-0.443
2.50E-01,-4.65E-02,-0.348
1.51E-01,-4.08E-02,-0.203
1.00E-01,-3.63E-02,-0.139
6.55E-02,-3.20E-02,-0.105
4.03E-02,-2.79E-02,-0.105
2.03E-02,-2.28E-02,-0.058
5.87E-03,-1.31E-02,0.545
5.70E-04,3.79E-03,0.759
1.84E-03,7.27E-03,-0.073
6.26E-03,1.36E-02,-0.72
1.23E-02,1.87E-02,-0.45
2.01E-02,2.27E-02,-0.838
2.99E-02,2.58E-02,-1.031
4.97E-02,2.97E-02,-1.039
7.45E-02,3.32E-02,-0.991
9.99E-02,3.62E-02,-0.95
1.40E-01,4.00E-02,-0.917
1.80E-01,4.29E-02,-0.889
2.20E-01,4.52E-02,-0.894
2.60E-01,4.68E-02,-0.89
3.00E-01,4.80E-02,-0.906
3.40E-01,4.87E-02,-0.933
3.80E-01,4.89E-02,-0.944
4.20E-01,4.87E-02,-0.619
4.60E-01,4.79E-02,-0.35
5.00E-01,4.65E-02,-0.224
5.40E-01,4.45E-02,-0.133
5.80E-01,4.21E-02,-0.076
6.20E-01,3.94E-02,-0.048
6.60E-01,3.64E-02,-0.03
7.00E-01,3.31E-02,-0.016
7.39E-01,2.95E-02,-0.001
7.80E-01,2.57E-02,0.24
8.19E-01,2.16E-02,0.058
8.60E-01,1.71E-02,0.09
8.99E-01,1.25E-02,0.127
9.47E-01,7.55E-03,0.179
9.85E-01,2.66E-03,0.233
