9.50E-01,-7.34E-03,0.143
8.49E-01,-1.82E-02,0.034
7.50E-01,-2.85E-02,-0.046
6.50E-01,-3.71E-02,-0.113
5.50E-01,-4.40E-02,-0.17
4.50E-01,-4.81E-02,-0.229
3.50E-01,-4.88E-02,-0.45
2.50E-01,-4.65E-02,-0.424
1.50E-01,-4.08E-02,-0.366
1.00E-01,-3.62E-02,-0.258
6.52E-02,-3.20E-02,-0.18
4.00E-02,-2.80E-02,-0.176
1.99E-02,-2.27E-02,-0.105
5.67E-03,-1.31E-02,0.495
6.80E-04,4.49E-03,0.725
1.90E-03,7.49E-03,0.31
6.23E-03,1.37E-02,-0.047
1.21E-02,1.85E-02,-0.462
1.98E-02,2.27E-02,-0.838
2.99E-02,2.58E-02,-1.042
4.97E-02,2.97E-02,-1.07
7.49E-02,3.33E-02,-1.029
9.99E-02,3.62E-02,-0.988
1.40E-01,3.99E-02,-0.992
1.80E-01,4.27E-02,-1.014
2.20E-01,4.51E-02,-0.992
2.60E-01,4.68E-02,-0.839
3.00E-01,4.80E-02,-0.796
3.40E-01,4.87E-02,-0.769
3.80E-01,4.89E-02,-0.682
4.20E-01,4.87E-02,-0.259
4.60E-01,4.79E-02,-0.169
5.00E-01,4.65E-02,-0.122
5.40E-01,4.45E-02,-0.103
5.80E-01,4.21E-02,-0.079
6.20E-01,3.94E-02,-0.066
6.60E-01,3.64E-02,-0.056
7.00E-01,3.31E-02,-0.032
7.40E-01,2.95E-02,-0.024
7.80E-01,2.57E-02,0
8.20E-01,2.15E-02,0.032
8.60E-01,1.71E-02,0.059
9.00E-01,1.24E-02,0.086
9.49E-01,7.42E-03,0.135
9.85E-01,2.72E-03,0.188
