0.99165	0.152612
0.990668	0.151906
0.989108	0.150555
0.988856	0.150335
0.986319	0.147631
0.9854	0.146619
0.983907	0.144749
0.981858	0.141877
0.978196	0.136063
0.974376	0.129214
0.970365	0.121407
0.966134	0.112747
0.961659	0.103351
0.956921	0.0933467
0.951902	0.0828634
0.946589	0.072037
0.940973	0.06103
0.935045	0.0500141
0.934831	0.0496484
0.930312	0.0417697
0.929851	0.0409632
0.928879	0.039252
0.928865	0.0392287
0.9288	0.0391124
0.922227	0.0283515
0.915338	0.0177912
0.908137	0.00736231
0.900629	-0.00302578
0.892822	-0.0134347
0.687563	-0.456084
0.677525	-0.44974
0.667633	-0.441911
0.657906	-0.433656
0.648365	-0.424462
0.640067	-0.414501
0.639996	-0.414454
0.63903	-0.413795
0.636988	-0.411072
0.629906	-0.400976
0.621017	-0.386284
0.612373	-0.373296
0.603986	-0.355072
0.599926	-0.344438
0.595857	-0.331561
0.591928	-0.317611
0.587991	-0.302856
0.584192	-0.287345
0.582323	-0.278686
0.580381	-0.269838
0.5767	-0.251548
0.573011	-0.232143
0.56945	-0.214005
0.565877	-0.191441
0.564153	-0.182312
0.562425	-0.171161
0.561382	-0.165129
0.56071	-0.16102
0.560692	-0.16091
0.559991	-0.156586
0.559707	-0.154832
0.559681	-0.15467
0.558957	-0.149678
0.55728	-0.139402
0.555598	-0.128532
0.553911	-0.117325
0.552221	-0.107163
0.55141	-0.102226
0.550983	-0.0992458
0.550794	-0.0979401
0.550583	-0.0964981
0.54979	-0.0906295
0.548936	-0.0839934
0.547285	-0.0721867
0.545631	-0.0625926
0.542704	-0.0381558
0.542396	-0.0351886
0.541696	-0.0298517
0.540763	-0.0222268
0.539122	-0.0118304
0.537512	0.000418945
0.535895	0.0152766
0.534269	0.0302475
0.533745	0.0346225
0.53263	0.0436007
0.529381	0.0739218
0.527739	0.0874588
0.526962	0.0922785
0.526256	0.09658
0.526083	0.0976117
0.526008	0.0982927
0.522756	0.127737
0.5211	0.140108
0.687563	-0.456084
0.697725	-0.461536
0.702862	-0.46312
0.707989	-0.460853
0.713165	-0.457587
0.71575	-0.451594
0.718333	-0.416863
0.720936	-0.327872
0.723537	-0.210728
0.726136	-0.145226
0.728733	-0.134634
0.733955	-0.151871
0.739168	-0.163927
0.749614	-0.174251
0.760052	-0.176192
0.770459	-0.169954
0.780783	-0.158648
0.788816	-0.148319
0.791032	-0.145572
0.797281	-0.137196
0.797896	-0.136372
0.798594	-0.135442
0.80118	-0.132115
0.811204	-0.11843
0.821087	-0.104801
0.83081	-0.0916079
0.840353	-0.0790294
0.849698	-0.0671167
0.858826	-0.0558157
0.862634	-0.051074
0.864455	-0.0488857
0.865632	-0.0474687
0.867719	-0.0449616
0.868794	-0.0436183
0.871004	-0.0408612
0.876355	-0.0343644
0.884727	-0.0238765
0.892822	-0.0134347
