0.355346	-0.544519
0.356104	-0.54516
0.359358	-0.547904
0.361542	-0.549668
0.374844	-0.562434
0.388377	-0.575953
0.402114	-0.590358
0.416026	-0.605794
0.430084	-0.622504
0.444259	-0.640361
0.458518	-0.657781
0.472831	-0.674849
0.487168	-0.691463
0.501497	-0.707526
0.505361	-0.711336
0.529985	-0.734486
0.515788	-0.721992
0.544083	-0.745032
0.558047	-0.752915
0.559423	-0.753431
0.571845	-0.75837
0.573603	-0.758766
0.58545	-0.76182
0.598834	-0.763728
0.600335	-0.76373
0.609269	-0.764594
0.610636	-0.764739
0.311112	-0.518353
0.308612	-0.51709
0.299297	-0.510413
0.298614	-0.509975
0.297534	-0.509275
0.287831	-0.499827
0.276723	-0.487094
0.271815	-0.480947
0.271357	-0.480314
0.265971	-0.468943
0.260787	-0.444968
0.258186	-0.446701
0.256724	-0.45468
0.255573	-0.493713
0.254585	-0.527259
0.254416	-0.533197
0.254187	-0.54128
0.253075	-0.595729
0.25057	-0.701042
0.249185	-0.7473
0.248054	-0.758563
0.247118	-0.768003
0.246948	-0.769599
0.246661	-0.772304
0.24553	-0.775306
0.240691	-0.784719
0.240268	-0.785647
0.235815	-0.794899
0.231127	-0.806043
0.226393	-0.818114
0.311112	-0.518353
0.321317	-0.523832
0.323258	-0.524608
0.333698	-0.529806
0.33539	-0.530607
0.335725	-0.530765
0.348494	-0.538744
0.355346	-0.544519
0.515788	-0.721992
0.505361	-0.711336
0.624823	-0.766065
0.613338	-0.76486
0.611968	-0.764876
0.610636	-0.764739
0.8208	0.226213
0.817956	0.224294
0.812831	0.220051
0.807662	0.215228
0.802384	0.209941
0.796936	0.204265
0.791263	0.198295
0.785318	0.192206
0.785169	0.192046
0.785043	0.191925
0.783643	0.190589
0.779062	0.186143
0.778986	0.186066
0.77894	0.186019
0.772464	0.180263
0.765498	0.174794
0.758142	0.170275
0.757718	0.170114
0.75038	0.167354
0.742201	0.166172
0.73377	0.166054
0.733595	0.166016
0.724558	0.165698
0.724553	0.165698
0.724251	0.165654
0.715422	0.164359
0.715088	0.16419
0.705189	0.160516
0.694869	0.154578
0.689504	0.150919
0.684138	0.147809
0.678573	0.144196
0.675791	0.142414
0.673008	0.148464
0.670129	0.168543
0.668046	0.18637
0.667251	0.170585
0.665676	0.108291
0.665438	0.0990998
0.66519	0.0896191
0.664372	-0.00613997
0.661492	-0.402609
0.65852	-0.693653
0.65555	-0.75027
0.649608	-0.760176
0.637377	-0.766577
0.624823	-0.766065
0.226393	-0.818114
0.225248	-0.821293
0.221843	-0.83005
0.217236	-0.838367
0.21278	-0.831855
0.212759	-0.83174
0.212409	-0.829747
0.211533	-0.824206
0.210528	-0.81795
0.208255	-0.798182
0.207018	-0.784996
0.206054	-0.774413
0.205943	-0.773017
0.205678	-0.769617
0.204792	-0.757951
0.203834	-0.744915
0.201599	-0.70968
0.200292	-0.686449
0.200148	-0.68385
0.199729	-0.676297
0.199345	-0.669361
0.199283	-0.668178
0.198051	-0.644622
0.19714	-0.627119
0.194912	-0.582482
0.194192	-0.567493
0.192661	-0.535834
0.190386	-0.487411
0.188965	-0.456332
0.188128	-0.438253
0.185827	-0.387578
0.184317	-0.354123
0.183495	-0.335884
0.183041	-0.325833
0.183009	-0.325149
0.181931	-0.302037
0.181129	-0.284774
0.178751	-0.234441
0.177595	-0.210348
0.17633	-0.185069
0.173864	-0.137307
0.172415	-0.110452
0.171352	-0.0917273
0.17022	-0.0728002
